step,action,x,y,map,direction,hp,battle,reward,visited_tiles,terminated,truncated,episode_reward
1,Action.LEFT,5,5,38,1.0,0,0,9.9,1,False,False,9.9
2,Action.RIGHT,5,5,38,3.0,0,0,-0.1,1,False,False,9.8
3,Action.LEFT,5,5,38,3.0,0,0,-0.1,1,False,False,9.700000000000001
4,Action.A,5,5,38,3.0,0,0,-0.1,1,False,False,9.600000000000001
5,Action.LEFT,5,5,38,3.0,0,0,-0.1,1,False,False,9.500000000000002
6,Action.RIGHT,6,5,38,3.0,0,0,9.9,2,False,False,19.400000000000002
7,Action.UP,6,5,38,3.0,0,0,-0.1,2,False,False,19.3
8,Action.NO_OP,6,5,38,3.0,0,0,-0.1,2,False,False,19.2
9,Action.DOWN,6,5,38,0.0,0,0,-0.1,2,False,False,19.099999999999998
10,Action.DOWN,6,5,38,0.0,0,0,-0.1,2,False,False,18.999999999999996
11,Action.DOWN,6,5,38,0.0,0,0,-0.1,2,False,False,18.899999999999995
12,Action.DOWN,6,5,38,0.0,0,0,-0.1,2,False,False,18.799999999999994
13,Action.NO_OP,6,5,38,0.0,0,0,-0.1,2,False,False,18.699999999999992
14,Action.DOWN,6,5,38,0.0,0,0,-0.1,2,False,False,18.59999999999999
15,Action.DOWN,6,5,38,0.0,0,0,-0.1,2,False,False,18.49999999999999
16,Action.UP,6,5,38,1.0,0,0,-0.1,2,False,False,18.399999999999988
17,Action.UP,6,5,38,1.0,0,0,-0.1,2,False,False,18.299999999999986
18,Action.UP,6,4,38,1.0,0,0,9.9,3,False,False,28.19999999999999
19,Action.A,6,4,38,1.0,0,0,-0.1,3,False,False,28.099999999999987
20,Action.RIGHT,6,4,38,3.0,0,0,-0.1,3,False,False,27.999999999999986
21,Action.LEFT,6,4,38,3.0,0,0,-0.1,3,False,False,27.899999999999984
22,Action.RIGHT,7,4,38,3.0,0,0,9.9,4,False,False,37.79999999999998
23,Action.RIGHT,7,4,38,3.0,0,0,-0.1,4,False,False,37.69999999999998
24,Action.NO_OP,7,4,38,3.0,0,0,-0.1,4,False,False,37.59999999999998
25,Action.NO_OP,7,4,38,3.0,0,0,-0.1,4,False,False,37.49999999999998
26,Action.NO_OP,7,4,38,3.0,0,0,-0.1,4,False,False,37.39999999999998
27,Action.NO_OP,7,4,38,3.0,0,0,-0.1,4,False,False,37.299999999999976
28,Action.UP,7,4,38,1.0,0,0,-0.1,4,False,False,37.199999999999974
29,Action.UP,7,4,38,1.0,0,0,-0.1,4,False,False,37.09999999999997
30,Action.UP,7,3,38,1.0,0,0,9.9,5,False,False,46.99999999999997
31,Action.UP,7,3,38,1.0,0,0,-0.1,5,False,False,46.89999999999997
32,Action.UP,7,2,38,1.0,0,0,9.9,6,False,False,56.79999999999997
33,Action.LEFT,7,2,38,1.0,0,0,-0.1,6,False,False,56.69999999999997
34,Action.DOWN,7,2,38,0.0,0,0,-0.1,6,False,False,56.599999999999966
35,Action.UP,7,2,38,0.0,0,0,-0.1,6,False,False,56.499999999999964
36,Action.UP,7,2,38,1.0,0,0,-0.1,6,False,False,56.39999999999996
37,Action.LEFT,7,2,38,1.0,0,0,-0.1,6,False,False,56.29999999999996
38,Action.DOWN,7,2,38,0.0,0,0,-0.1,6,False,False,56.19999999999996
39,Action.NO_OP,7,2,38,0.0,0,0,-0.1,6,False,False,56.09999999999996
40,Action.LEFT,7,2,38,0.0,0,0,-0.1,6,False,False,55.99999999999996
41,Action.UP,7,2,38,1.0,0,0,-0.1,6,False,False,55.899999999999956
42,Action.UP,7,2,38,1.0,0,0,-0.1,6,False,False,55.799999999999955
43,Action.UP,7,1,37,1.0,0,0,29.9,7,False,False,85.69999999999996
44,Action.A,7,1,37,1.0,0,0,-0.1,7,False,False,85.59999999999997
45,Action.A,7,1,37,1.0,0,0,-0.1,7,False,False,85.49999999999997
46,Action.RIGHT,7,1,37,1.0,0,0,-0.1,7,False,False,85.39999999999998
47,Action.A,7,1,37,1.0,0,0,-0.1,7,False,False,85.29999999999998
48,Action.A,7,1,37,1.0,0,0,-0.1,7,False,False,85.19999999999999
49,Action.A,7,1,37,1.0,0,0,-0.1,7,False,False,85.1
50,Action.A,7,1,37,1.0,0,0,-0.1,7,False,False,85.0
51,Action.A,7,1,37,1.0,0,0,-0.1,7,False,False,84.9
52,Action.A,7,1,37,1.0,0,0,-0.1,7,False,False,84.80000000000001
53,Action.A,7,1,37,1.0,0,0,-0.1,7,False,False,84.70000000000002
54,Action.DOWN,7,1,37,1.0,0,0,-0.1,7,False,False,84.60000000000002
55,Action.UP,7,1,37,1.0,0,0,-0.1,7,False,False,84.50000000000003
56,Action.RIGHT,7,1,37,1.0,0,0,-0.1,7,False,False,84.40000000000003
57,Action.UP,7,1,37,1.0,0,0,-0.1,7,False,False,84.30000000000004
58,Action.UP,7,1,37,1.0,0,0,-0.1,7,False,False,84.20000000000005
59,Action.LEFT,7,1,37,2.0,0,0,-0.1,7,False,False,84.10000000000005
60,Action.NO_OP,7,1,37,2.0,0,0,-0.1,7,False,False,84.00000000000006
61,Action.LEFT,7,1,37,2.0,0,0,-0.1,7,False,False,83.90000000000006
62,Action.NO_OP,7,1,37,2.0,0,0,-0.1,7,False,False,83.80000000000007
63,Action.LEFT,6,1,37,2.0,0,0,9.9,8,False,False,93.70000000000007
64,Action.A,6,1,37,2.0,0,0,-0.1,8,False,False,93.60000000000008
65,Action.LEFT,6,1,37,2.0,0,0,-0.1,8,False,False,93.50000000000009
66,Action.LEFT,5,1,37,2.0,0,0,9.9,9,False,False,103.40000000000009
67,Action.LEFT,4,1,37,2.0,0,0,9.9,10,False,False,113.3000000000001
68,Action.A,4,1,37,2.0,0,0,-0.1,10,False,False,113.2000000000001
69,Action.NO_OP,4,1,37,2.0,0,0,-0.1,10,False,False,113.10000000000011
70,Action.RIGHT,4,1,37,2.0,0,0,-0.1,10,False,False,113.00000000000011
71,Action.RIGHT,4,1,37,2.0,0,0,-0.1,10,False,False,112.90000000000012
72,Action.RIGHT,4,1,37,2.0,0,0,-0.1,10,False,False,112.80000000000013
73,Action.RIGHT,4,1,37,2.0,0,0,-0.1,10,False,False,112.70000000000013
74,Action.RIGHT,4,1,37,2.0,0,0,-0.1,10,False,False,112.60000000000014
75,Action.LEFT,4,1,37,2.0,0,0,-0.1,10,False,False,112.50000000000014
76,Action.A,4,1,37,2.0,0,0,-0.1,10,False,False,112.40000000000015
77,Action.NO_OP,4,1,37,2.0,0,0,-0.1,10,False,False,112.30000000000015
78,Action.LEFT,4,1,37,2.0,0,0,-0.1,10,False,False,112.20000000000016
79,Action.A,4,1,37,2.0,0,0,-0.1,10,False,False,112.10000000000016
80,Action.LEFT,4,1,37,2.0,0,0,-0.1,10,False,False,112.00000000000017
81,Action.A,4,1,37,2.0,0,0,-0.1,10,False,False,111.90000000000018
82,Action.LEFT,4,1,37,2.0,0,0,-0.1,10,False,False,111.80000000000018
83,Action.A,4,1,37,2.0,0,0,-0.1,10,False,False,111.70000000000019
84,Action.LEFT,4,1,37,2.0,0,0,-0.1,10,False,False,111.6000000000002
85,Action.A,4,1,37,2.0,0,0,-0.1,10,False,False,111.5000000000002
86,Action.LEFT,4,1,37,2.0,0,0,-0.1,10,False,False,111.4000000000002
87,Action.A,4,1,37,2.0,0,0,-0.1,10,False,False,111.30000000000021
88,Action.UP,4,1,37,2.0,0,0,-0.1,10,False,False,111.20000000000022
89,Action.LEFT,4,1,37,2.0,0,0,-0.1,10,False,False,111.10000000000022
90,Action.A,4,1,37,2.0,0,0,-0.1,10,False,False,111.00000000000023
91,Action.LEFT,4,1,37,2.0,0,0,-0.1,10,False,False,110.90000000000023
92,Action.DOWN,4,1,37,2.0,0,0,-0.1,10,False,False,110.80000000000024
93,Action.NO_OP,4,1,37,2.0,0,0,-0.1,10,False,False,110.70000000000024
94,Action.LEFT,4,1,37,2.0,0,0,-0.1,10,False,False,110.60000000000025
95,Action.NO_OP,4,1,37,2.0,0,0,-0.1,10,False,False,110.50000000000026
96,Action.LEFT,4,1,37,2.0,0,0,-0.1,10,False,False,110.40000000000026
97,Action.NO_OP,4,1,37,2.0,0,0,-0.1,10,False,False,110.30000000000027
98,Action.LEFT,4,1,37,2.0,0,0,-0.1,10,False,False,110.20000000000027
99,Action.UP,4,1,37,2.0,0,0,-0.1,10,False,False,110.10000000000028
100,Action.NO_OP,4,1,37,2.0,0,0,-0.1,10,False,False,110.00000000000028
101,Action.LEFT,4,1,37,2.0,0,0,-0.1,10,False,False,109.90000000000029
102,Action.NO_OP,4,1,37,2.0,0,0,-0.1,10,False,False,109.8000000000003
103,Action.UP,4,1,37,2.0,0,0,-0.1,10,False,False,109.7000000000003
104,Action.NO_OP,4,1,37,2.0,0,0,-0.1,10,False,False,109.6000000000003
105,Action.LEFT,4,1,37,2.0,0,0,-0.1,10,False,False,109.50000000000031
106,Action.NO_OP,4,1,37,2.0,0,0,-0.1,10,False,False,109.40000000000032
107,Action.LEFT,4,1,37,2.0,0,0,-0.1,10,False,False,109.30000000000032
108,Action.RIGHT,4,1,37,2.0,0,0,-0.1,10,False,False,109.20000000000033
109,Action.NO_OP,4,1,37,2.0,0,0,-0.1,10,False,False,109.10000000000034
110,Action.LEFT,4,1,37,2.0,0,0,-0.1,10,False,False,109.00000000000034
111,Action.LEFT,4,1,37,2.0,0,0,-0.1,10,False,False,108.90000000000035
112,Action.DOWN,4,1,37,2.0,0,0,-0.1,10,False,False,108.80000000000035
113,Action.NO_OP,4,1,37,2.0,0,0,-0.1,10,False,False,108.70000000000036
114,Action.LEFT,4,1,37,2.0,0,0,-0.1,10,False,False,108.60000000000036
115,Action.NO_OP,4,1,37,2.0,0,0,-0.1,10,False,False,108.50000000000037
116,Action.RIGHT,4,1,37,2.0,0,0,-0.1,10,False,False,108.40000000000038
117,Action.NO_OP,4,1,37,2.0,0,0,-0.1,10,False,False,108.30000000000038
118,Action.UP,4,1,37,2.0,0,0,-0.1,10,False,False,108.20000000000039
119,Action.NO_OP,4,1,37,2.0,0,0,-0.1,10,False,False,108.10000000000039
120,Action.RIGHT,4,1,37,2.0,0,0,-0.1,10,False,False,108.0000000000004
121,Action.LEFT,4,1,37,2.0,0,0,-0.1,10,False,False,107.9000000000004
122,Action.NO_OP,4,1,37,2.0,0,0,-0.1,10,False,False,107.80000000000041
123,Action.RIGHT,4,1,37,2.0,0,0,-0.1,10,False,False,107.70000000000041
