step,action,x,y,map,direction,hp,battle,reward,visited_tiles,terminated,truncated,episode_reward
1,Action.UP,5,4,38,1.0,0,0,50.0,0,False,False,50.0
2,Action.RIGHT,6,4,38,3.0,0,0,0.0,0,False,False,50.0
3,Action.RIGHT,7,4,38,3.0,0,0,0.0,0,False,False,50.0
4,Action.UP,7,3,38,1.0,0,0,0.0,0,False,False,50.0
5,Action.UP,7,2,38,1.0,0,0,0.0,0,False,False,50.0
6,Action.UP,7,1,37,1.0,0,0,60.0,0,False,False,110.0
7,Action.UP,7,1,37,1.0,0,0,1.0,0,False,False,111.0
8,Action.DOWN,7,1,37,1.0,0,0,0.0,0,False,False,111.0
9,Action.LEFT,7,1,37,2.0,0,0,-0.03,0,False,False,110.97
10,Action.LEFT,5,1,37,2.0,0,0,0.0,0,False,False,110.97
11,Action.DOWN,5,2,37,0.0,0,0,0.0,0,False,False,110.97
12,Action.DOWN,5,3,37,0.0,0,0,0.0,0,False,False,110.97
13,Action.LEFT,4,3,37,2.0,0,0,0.0,0,False,False,110.97
14,Action.LEFT,3,3,37,2.0,0,0,0.0,0,False,False,110.97
15,Action.UP,3,2,37,1.0,0,0,0.0,0,False,False,110.97
16,Action.A,3,2,37,1.0,0,0,1.0,0,False,False,111.97
17,Action.NO_OP,3,2,37,1.0,0,0,0.0,0,False,False,111.97
18,Action.LEFT,3,2,37,1.0,0,0,-0.03,0,False,False,111.94
19,Action.NO_OP,3,2,37,1.0,0,0,-0.04,0,False,False,111.89999999999999
20,Action.NO_OP,3,2,37,1.0,0,0,-0.05,0,False,False,111.85
21,Action.B,3,2,37,1.0,0,0,-0.06,0,False,False,111.78999999999999
22,Action.NO_OP,3,2,37,1.0,0,0,-0.07,0,False,False,111.72
23,Action.B,3,2,37,1.0,0,0,-0.08,0,False,False,111.64
24,Action.NO_OP,3,2,37,1.0,0,0,-0.09,0,False,False,111.55
25,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,111.45
26,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,111.35000000000001
27,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,111.25000000000001
28,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,111.15000000000002
29,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,111.05000000000003
30,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,110.95000000000003
31,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,110.85000000000004
32,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,110.75000000000004
33,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,108.65000000000005
34,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,106.55000000000005
35,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,104.45000000000006
36,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,102.35000000000007
37,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,100.25000000000007
38,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,100.15000000000008
39,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,100.05000000000008
40,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,99.95000000000009
41,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,99.8500000000001
42,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,99.7500000000001
43,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,99.6500000000001
44,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,99.55000000000011
45,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,99.45000000000012
46,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,99.35000000000012
47,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,99.25000000000013
48,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,97.15000000000013
49,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,95.05000000000014
50,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,92.95000000000014
51,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,90.85000000000015
52,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,88.75000000000016
53,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,86.65000000000016
54,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,84.55000000000017
55,Action.RIGHT,3,2,37,1.0,0,0,-0.1,0,False,False,84.45000000000017
56,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,84.35000000000018
57,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,84.25000000000018
58,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,84.15000000000019
59,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,84.0500000000002
60,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,83.9500000000002
61,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,83.85000000000021
62,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,83.75000000000021
63,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,83.65000000000022
64,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,83.55000000000022
65,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,81.45000000000023
66,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,79.35000000000024
67,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,77.25000000000024
68,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,75.15000000000025
69,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,73.05000000000025
70,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,70.95000000000026
71,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,68.85000000000026
72,Action.B,3,2,37,1.0,0,0,-0.1,0,False,False,68.75000000000027
73,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,68.65000000000028
74,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,68.55000000000028
75,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,68.45000000000029
76,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,68.35000000000029
77,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,68.2500000000003
78,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,68.1500000000003
79,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,68.05000000000031
80,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,67.95000000000032
81,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,67.85000000000032
82,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,67.75000000000033
83,Action.LEFT,3,2,37,1.0,0,0,-2.1,0,False,False,65.65000000000033
84,Action.LEFT,3,2,37,1.0,0,0,-2.1,0,False,False,63.55000000000033
85,Action.LEFT,3,2,37,1.0,0,0,-2.1,0,False,False,61.45000000000033
86,Action.LEFT,3,2,37,1.0,0,0,-2.1,0,False,False,59.35000000000033
87,Action.LEFT,3,2,37,1.0,0,0,-2.1,0,False,False,57.25000000000033
88,Action.LEFT,3,2,37,1.0,0,0,-2.1,0,False,False,55.150000000000325
89,Action.LEFT,3,2,37,1.0,0,0,-2.1,0,False,False,53.050000000000324
90,Action.LEFT,3,2,37,1.0,0,0,-2.1,0,False,False,50.95000000000032
91,Action.LEFT,3,2,37,1.0,0,0,-2.1,0,False,False,48.85000000000032
92,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,48.75000000000032
93,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,48.65000000000032
94,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,48.55000000000032
95,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,48.450000000000315
96,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,48.350000000000314
97,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,48.25000000000031
98,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,48.15000000000031
99,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,48.05000000000031
100,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,47.95000000000031
101,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,45.85000000000031
102,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,43.750000000000306
103,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,41.650000000000304
104,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,39.5500000000003
105,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,37.4500000000003
106,Action.NO_OP,3,2,37,1.0,0,0,-2.1,0,False,False,35.3500000000003
107,Action.RIGHT,3,2,37,1.0,0,0,-0.1,0,False,False,35.2500000000003
108,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,35.1500000000003
109,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,35.050000000000296
110,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,34.950000000000294
111,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,34.85000000000029
112,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,34.75000000000029
113,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,34.65000000000029
114,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,34.55000000000029
115,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,34.45000000000029
116,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,34.350000000000286
117,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,34.250000000000284
118,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,34.15000000000028
119,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,34.05000000000028
120,Action.LEFT,3,2,37,1.0,0,0,-2.1,0,False,False,31.95000000000028
121,Action.LEFT,3,2,37,1.0,0,0,-2.1,0,False,False,29.85000000000028
122,Action.LEFT,3,2,37,1.0,0,0,-2.1,0,False,False,27.750000000000277
123,Action.LEFT,3,2,37,1.0,0,0,-2.1,0,False,False,25.650000000000276
124,Action.LEFT,3,2,37,1.0,0,0,-2.1,0,False,False,23.550000000000274
125,Action.LEFT,3,2,37,1.0,0,0,-2.1,0,False,False,21.450000000000273
126,Action.LEFT,3,2,37,1.0,0,0,-2.1,0,False,False,19.35000000000027
127,Action.LEFT,3,2,37,1.0,0,0,-2.1,0,False,False,17.25000000000027
128,Action.LEFT,3,2,37,1.0,0,0,-2.1,0,False,False,15.15000000000027
129,Action.LEFT,3,2,37,1.0,0,0,-2.1,0,False,False,13.05000000000027
130,Action.LEFT,3,2,37,1.0,0,0,-2.1,0,False,False,10.950000000000271
131,Action.LEFT,3,2,37,1.0,0,0,-2.1,0,False,False,8.850000000000271
132,Action.LEFT,3,2,37,1.0,0,0,-2.1,0,False,False,6.750000000000272
133,Action.NO_OP,3,2,37,1.0,0,0,-0.1,0,False,False,6.650000000000272
134,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,6.5500000000002725
135,Action.RIGHT,3,2,37,1.0,0,0,-0.1,0,False,False,6.450000000000273
136,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,6.350000000000273
137,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,6.250000000000274
138,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,6.150000000000274
139,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,6.050000000000274
140,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,5.950000000000275
141,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,5.850000000000275
142,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,5.750000000000275
143,Action.LEFT,3,2,37,1.0,0,0,-0.1,0,False,False,5.650000000000276
