step,action,x,y,map,direction,hp,battle,reward,visited_tiles,terminated,truncated,episode_reward
1,Action.UP,5,4,38,1.0,0,0,50.0,0,False,False,50.0
2,Action.DOWN,5,5,38,0.0,0,0,0.0,0,False,False,50.0
3,Action.DOWN,5,6,38,0.0,0,0,0.0,0,False,False,50.0
4,Action.UP,5,5,38,1.0,0,0,1.0,0,False,False,51.0
5,Action.A,5,5,38,1.0,0,0,0.0,0,False,False,51.0
6,Action.A,5,5,38,1.0,0,0,-0.03,0,False,False,50.97
7,Action.UP,5,4,38,1.0,0,0,1.0,0,False,False,51.97
8,Action.DOWN,5,5,38,0.0,0,0,-0.04,0,False,False,51.93
9,Action.DOWN,5,6,38,0.0,0,0,1.0,0,False,False,52.93
10,Action.UP,5,5,38,1.0,0,0,-0.05,0,False,False,52.88
11,Action.A,5,5,38,1.0,0,0,-0.06,0,False,False,52.82
12,Action.A,5,5,38,1.0,0,0,-0.07,0,False,False,52.75
13,Action.A,5,5,38,1.0,0,0,-0.08,0,False,False,52.67
14,Action.UP,5,4,38,1.0,0,0,0.0,0,False,False,52.67
15,Action.DOWN,5,5,38,0.0,0,0,-0.09,0,False,False,52.58
16,Action.DOWN,5,6,38,0.0,0,0,0.0,0,False,False,52.58
17,Action.RIGHT,5,6,38,3.0,0,0,-0.03,0,False,False,52.55
18,Action.UP,5,5,38,1.0,0,0,-0.1,0,False,False,52.449999999999996
19,Action.A,5,5,38,1.0,0,0,-0.1,0,False,False,52.349999999999994
20,Action.A,5,5,38,1.0,0,0,-0.1,0,False,False,52.24999999999999
21,Action.NO_OP,5,5,38,1.0,0,0,-0.1,0,False,False,52.14999999999999
22,Action.UP,5,4,38,1.0,0,0,-0.03,0,False,False,52.11999999999999
23,Action.DOWN,5,5,38,0.0,0,0,-0.1,0,False,False,52.01999999999999
24,Action.DOWN,5,6,38,0.0,0,0,-0.04,0,False,False,51.97999999999999
25,Action.UP,5,5,38,1.0,0,0,-0.1,0,False,False,51.87999999999999
26,Action.B,5,5,38,1.0,0,0,-0.1,0,False,False,51.77999999999999
27,Action.B,5,5,38,1.0,0,0,-0.1,0,False,False,51.679999999999986
28,Action.B,5,5,38,1.0,0,0,-0.1,0,False,False,51.579999999999984
29,Action.UP,5,4,38,1.0,0,0,-0.04,0,False,False,51.539999999999985
30,Action.DOWN,5,5,38,0.0,0,0,-0.1,0,False,False,51.43999999999998
31,Action.DOWN,5,6,38,0.0,0,0,-0.05,0,False,False,51.389999999999986
32,Action.UP,5,5,38,1.0,0,0,-0.1,0,False,False,51.289999999999985
33,Action.A,5,5,38,1.0,0,0,-0.1,0,False,False,51.18999999999998
34,Action.A,5,5,38,1.0,0,0,-0.1,0,False,False,51.08999999999998
35,Action.A,5,5,38,1.0,0,0,-0.1,0,False,False,50.98999999999998
36,Action.RIGHT,6,5,38,3.0,0,0,0.0,0,False,False,50.98999999999998
37,Action.LEFT,5,5,38,2.0,0,0,-0.1,0,False,False,50.88999999999998
38,Action.DOWN,5,6,38,0.0,0,0,-0.06,0,False,False,50.82999999999998
39,Action.UP,5,5,38,1.0,0,0,-0.1,0,False,False,50.729999999999976
40,Action.B,5,5,38,1.0,0,0,-0.1,0,False,False,50.629999999999974
41,Action.B,5,5,38,1.0,0,0,-0.1,0,False,False,50.52999999999997
42,Action.B,5,5,38,1.0,0,0,-0.1,0,False,False,50.42999999999997
43,Action.UP,5,4,38,1.0,0,0,-0.05,0,False,False,50.379999999999974
44,Action.DOWN,5,5,38,0.0,0,0,-0.1,0,False,False,50.27999999999997
45,Action.DOWN,5,6,38,0.0,0,0,-0.07,0,False,False,50.20999999999997
46,Action.UP,5,5,38,1.0,0,0,-0.1,0,False,False,50.10999999999997
47,Action.A,5,5,38,1.0,0,0,-0.1,0,False,False,50.00999999999997
48,Action.A,5,5,38,1.0,0,0,-0.1,0,False,False,49.90999999999997
49,Action.B,5,5,38,1.0,0,0,-0.1,0,False,False,49.80999999999997
50,Action.UP,5,4,38,1.0,0,0,-0.06,0,False,False,49.749999999999964
51,Action.DOWN,5,5,38,0.0,0,0,-0.1,0,False,False,49.64999999999996
52,Action.DOWN,5,6,38,0.0,0,0,-0.08,0,False,False,49.569999999999965
53,Action.UP,5,5,38,1.0,0,0,-0.1,0,False,False,49.46999999999996
54,Action.A,5,5,38,1.0,0,0,-0.1,0,False,False,49.36999999999996
55,Action.A,5,5,38,1.0,0,0,-0.1,0,False,False,49.26999999999996
56,Action.A,5,5,38,1.0,0,0,-0.1,0,False,False,49.16999999999996
57,Action.A,5,5,38,1.0,0,0,-0.1,0,False,False,49.06999999999996
58,Action.UP,5,4,38,1.0,0,0,-0.07,0,False,False,48.99999999999996
59,Action.A,5,4,38,1.0,0,0,-0.08,0,False,False,48.91999999999996
60,Action.DOWN,5,5,38,0.0,0,0,-0.1,0,False,False,48.81999999999996
61,Action.DOWN,5,6,38,0.0,0,0,-0.09,0,False,False,48.729999999999954
62,Action.UP,5,5,38,1.0,0,0,-0.1,0,False,False,48.62999999999995
63,Action.B,5,5,38,1.0,0,0,-0.1,0,False,False,48.52999999999995
64,Action.A,5,5,38,1.0,0,0,-0.1,0,False,False,48.42999999999995
65,Action.A,5,5,38,1.0,0,0,-0.1,0,False,False,48.32999999999995
66,Action.UP,5,4,38,1.0,0,0,-0.09,0,False,False,48.239999999999945
67,Action.DOWN,5,5,38,0.0,0,0,-0.1,0,False,False,48.139999999999944
68,Action.DOWN,5,6,38,0.0,0,0,-0.1,0,False,False,48.03999999999994
69,Action.UP,5,5,38,1.0,0,0,-0.1,0,False,False,47.93999999999994
