step,action,x,y,map,direction,hp,battle,reward,visited_tiles,terminated,truncated,episode_reward
1,Action.RIGHT,6,5,38,3.0,0,0,50.0,0,False,False,50.0
2,Action.RIGHT,7,5,38,3.0,0,0,0.0,0,False,False,50.0
3,Action.RIGHT,7,5,38,3.0,0,0,1.0,0,False,False,51.0
4,Action.RIGHT,7,5,38,3.0,0,0,0.0,0,False,False,51.0
5,Action.RIGHT,7,5,38,3.0,0,0,-0.03,0,False,False,50.97
6,Action.RIGHT,7,5,38,3.0,0,0,-0.04,0,False,False,50.93
7,Action.RIGHT,7,5,38,3.0,0,0,-0.05,0,False,False,50.88
8,Action.RIGHT,7,5,38,3.0,0,0,-0.06,0,False,False,50.82
9,Action.RIGHT,7,5,38,3.0,0,0,-0.07,0,False,False,50.75
10,Action.RIGHT,7,5,38,3.0,0,0,-2.08,0,False,False,48.67
11,Action.RIGHT,7,5,38,3.0,0,0,-2.09,0,False,False,46.58
12,Action.B,7,5,38,3.0,0,0,-0.1,0,False,False,46.48
13,Action.B,7,5,38,3.0,0,0,-0.1,0,False,False,46.379999999999995
14,Action.A,7,5,38,3.0,0,0,-0.1,0,False,False,46.279999999999994
15,Action.B,7,5,38,3.0,0,0,-0.1,0,False,False,46.17999999999999
16,Action.B,7,5,38,3.0,0,0,-0.1,0,False,False,46.07999999999999
17,Action.B,7,5,38,3.0,0,0,-0.1,0,False,False,45.97999999999999
18,Action.B,7,5,38,3.0,0,0,-0.1,0,False,False,45.87999999999999
19,Action.RIGHT,7,5,38,3.0,0,0,-0.1,0,False,False,45.77999999999999
20,Action.RIGHT,7,5,38,3.0,0,0,-0.1,0,False,False,45.679999999999986
21,Action.RIGHT,7,5,38,3.0,0,0,-0.1,0,False,False,45.579999999999984
22,Action.RIGHT,7,5,38,3.0,0,0,-0.1,0,False,False,45.47999999999998
23,Action.RIGHT,7,5,38,3.0,0,0,-0.1,0,False,False,45.37999999999998
24,Action.RIGHT,7,5,38,3.0,0,0,-0.1,0,False,False,45.27999999999998
25,Action.RIGHT,7,5,38,3.0,0,0,-0.1,0,False,False,45.17999999999998
26,Action.RIGHT,7,5,38,3.0,0,0,-0.1,0,False,False,45.07999999999998
27,Action.RIGHT,7,5,38,3.0,0,0,-0.1,0,False,False,44.979999999999976
28,Action.RIGHT,7,5,38,3.0,0,0,-2.1,0,False,False,42.879999999999974
29,Action.RIGHT,7,5,38,3.0,0,0,-2.1,0,False,False,40.77999999999997
30,Action.RIGHT,7,5,38,3.0,0,0,-2.1,0,False,False,38.67999999999997
31,Action.RIGHT,7,5,38,3.0,0,0,-2.1,0,False,False,36.57999999999997
32,Action.UP,7,4,38,1.0,0,0,0.0,0,False,False,36.57999999999997
33,Action.RIGHT,7,4,38,3.0,0,0,1.0,0,False,False,37.57999999999997
34,Action.DOWN,7,5,38,0.0,0,0,-0.1,0,False,False,37.47999999999997
35,Action.UP,7,4,38,1.0,0,0,0.0,0,False,False,37.47999999999997
36,Action.UP,7,3,38,1.0,0,0,0.0,0,False,False,37.47999999999997
37,Action.UP,7,2,38,1.0,0,0,0.0,0,False,False,37.47999999999997
38,Action.UP,7,1,37,1.0,0,0,60.0,0,False,False,97.47999999999996
39,Action.LEFT,7,1,37,1.0,0,0,1.0,0,False,False,98.47999999999996
40,Action.NO_OP,7,1,37,1.0,0,0,0.0,0,False,False,98.47999999999996
41,Action.DOWN,7,1,37,0.0,0,0,-0.03,0,False,False,98.44999999999996
42,Action.UP,7,1,38,1.0,0,0,0.0,0,False,False,98.44999999999996
43,Action.B,7,1,38,1.0,0,0,1.0,0,False,False,99.44999999999996
44,Action.DOWN,7,1,38,1.0,0,0,0.0,0,False,False,99.44999999999996
45,Action.DOWN,7,1,38,1.0,0,0,-0.03,0,False,False,99.41999999999996
46,Action.DOWN,7,2,38,0.0,0,0,1.0,0,False,False,100.41999999999996
47,Action.UP,7,1,37,1.0,0,0,-0.04,0,False,False,100.37999999999995
48,Action.DOWN,7,1,37,1.0,0,0,-0.05,0,False,False,100.32999999999996
49,Action.NO_OP,7,1,37,1.0,0,0,-0.06,0,False,False,100.26999999999995
50,Action.RIGHT,7,1,37,3.0,0,0,-0.07,0,False,False,100.19999999999996
51,Action.DOWN,7,2,37,0.0,0,0,0.0,0,False,False,100.19999999999996
52,Action.UP,7,1,38,1.0,0,0,-5.04,0,False,False,95.15999999999995
53,Action.DOWN,7,1,38,1.0,0,0,-0.05,0,False,False,95.10999999999996
54,Action.DOWN,7,1,38,1.0,0,0,-0.06,0,False,False,95.04999999999995
55,Action.DOWN,7,1,38,0.0,0,0,-0.07,0,False,False,94.97999999999996
56,Action.B,7,2,38,0.0,0,0,0.0,0,False,False,94.97999999999996
57,Action.UP,7,1,37,1.0,0,0,-0.08,0,False,False,94.89999999999996
58,Action.DOWN,7,1,37,1.0,0,0,-0.09,0,False,False,94.80999999999996
59,Action.NO_OP,7,1,37,1.0,0,0,-0.1,0,False,False,94.70999999999997
60,Action.DOWN,7,1,37,0.0,0,0,-0.1,0,False,False,94.60999999999997
61,Action.UP,7,1,38,1.0,0,0,-0.08,0,False,False,94.52999999999997
62,Action.DOWN,7,1,38,1.0,0,0,-0.09,0,False,False,94.43999999999997
63,Action.DOWN,7,1,38,1.0,0,0,-0.1,0,False,False,94.33999999999997
