step,action,x,y,map,direction,hp,battle,reward,visited_tiles,terminated,truncated,episode_reward
1,Action.RIGHT,6,5,38,3.0,0,0,50.0,0,False,False,50.0
2,Action.UP,6,4,38,1.0,0,0,0.0,0,False,False,50.0
3,Action.RIGHT,7,4,38,3.0,0,0,0.0,0,False,False,50.0
4,Action.A,7,4,38,3.0,0,0,1.0,0,False,False,51.0
5,Action.UP,7,3,38,1.0,0,0,0.0,0,False,False,51.0
6,Action.UP,7,2,38,1.0,0,0,0.0,0,False,False,51.0
7,Action.UP,7,1,37,1.0,0,0,60.0,0,False,False,111.0
8,Action.UP,7,1,37,1.0,0,0,1.0,0,False,False,112.0
9,Action.LEFT,7,1,37,1.0,0,0,0.0,0,False,False,112.0
10,Action.LEFT,7,1,37,2.0,0,0,-0.03,0,False,False,111.97
11,Action.LEFT,5,1,37,2.0,0,0,0.0,0,False,False,111.97
12,Action.UP,5,1,37,1.0,0,0,1.0,0,False,False,112.97
13,Action.UP,5,1,37,1.0,0,0,0.0,0,False,False,112.97
14,Action.DOWN,5,2,37,0.0,0,0,0.0,0,False,False,112.97
15,Action.LEFT,4,2,37,2.0,0,0,0.0,0,False,False,112.97
16,Action.LEFT,3,2,37,2.0,0,0,0.0,0,False,False,112.97
17,Action.A,3,2,37,2.0,0,0,1.0,0,False,False,113.97
18,Action.A,3,2,37,2.0,0,0,0.0,0,False,False,113.97
19,Action.A,3,2,37,2.0,0,0,-0.03,0,False,False,113.94
20,Action.A,3,2,37,2.0,0,0,-0.04,0,False,False,113.89999999999999
21,Action.A,3,2,37,2.0,0,0,-0.05,0,False,False,113.85
22,Action.A,3,2,37,2.0,0,0,-0.06,0,False,False,113.78999999999999
23,Action.A,3,2,37,2.0,0,0,-0.07,0,False,False,113.72
24,Action.A,3,2,37,2.0,0,0,-0.08,0,False,False,113.64
25,Action.A,3,2,37,2.0,0,0,-0.09,0,False,False,113.55
26,Action.A,3,2,37,2.0,0,0,-2.1,0,False,False,111.45
27,Action.A,3,2,37,2.0,0,0,-2.1,0,False,False,109.35000000000001
28,Action.A,3,2,37,2.0,0,0,-2.1,0,False,False,107.25000000000001
29,Action.A,3,2,37,2.0,0,0,-2.1,0,False,False,105.15000000000002
30,Action.A,3,2,37,2.0,0,0,-2.1,0,False,False,103.05000000000003
31,Action.A,3,2,37,2.0,0,0,-2.1,0,False,False,100.95000000000003
32,Action.A,3,2,37,2.0,0,0,-2.1,0,False,False,98.85000000000004
33,Action.A,3,2,37,2.0,0,0,-2.1,0,False,False,96.75000000000004
34,Action.A,3,2,37,2.0,0,0,-2.1,0,False,False,94.65000000000005
