step,action,x,y,map,direction,hp,battle,reward,visited_tiles,terminated,truncated,episode_reward
1,Action.UP,5,4,38,1.0,0,0,50.0,0,False,False,50.0
2,Action.DOWN,5,5,38,0.0,0,0,0.0,0,False,False,50.0
3,Action.RIGHT,6,5,38,3.0,0,0,0.0,0,False,False,50.0
4,Action.LEFT,5,5,38,2.0,0,0,1.0,0,False,False,51.0
5,Action.A,5,5,38,2.0,0,0,0.0,0,False,False,51.0
6,Action.A,5,5,38,2.0,0,0,-0.03,0,False,False,50.97
7,Action.A,5,5,38,2.0,0,0,-0.04,0,False,False,50.93
8,Action.A,5,5,38,2.0,0,0,-0.05,0,False,False,50.88
9,Action.A,5,5,38,2.0,0,0,-0.06,0,False,False,50.82
10,Action.A,5,5,38,2.0,0,0,-0.07,0,False,False,50.75
11,Action.A,5,5,38,2.0,0,0,-0.08,0,False,False,50.67
12,Action.B,5,5,38,2.0,0,0,-0.09,0,False,False,50.58
13,Action.B,5,5,38,2.0,0,0,-0.1,0,False,False,50.48
14,Action.B,5,5,38,2.0,0,0,-0.1,0,False,False,50.379999999999995
15,Action.B,5,5,38,2.0,0,0,-0.1,0,False,False,50.279999999999994
16,Action.B,5,5,38,2.0,0,0,-0.1,0,False,False,50.17999999999999
17,Action.B,5,5,38,2.0,0,0,-0.1,0,False,False,50.07999999999999
18,Action.B,5,5,38,2.0,0,0,-0.1,0,False,False,49.97999999999999
19,Action.NO_OP,5,5,38,2.0,0,0,-0.1,0,False,False,49.87999999999999
20,Action.NO_OP,5,5,38,2.0,0,0,-0.1,0,False,False,49.77999999999999
21,Action.NO_OP,5,5,38,2.0,0,0,-0.1,0,False,False,49.679999999999986
22,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,49.579999999999984
23,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,49.47999999999998
24,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,49.37999999999998
25,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,49.27999999999998
26,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,49.17999999999998
27,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,49.07999999999998
28,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,48.979999999999976
29,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,48.879999999999974
30,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,48.77999999999997
31,Action.A,5,5,38,2.0,0,0,-2.1,0,False,False,46.67999999999997
32,Action.B,5,5,38,2.0,0,0,-0.1,0,False,False,46.57999999999997
33,Action.B,5,5,38,2.0,0,0,-0.1,0,False,False,46.47999999999997
34,Action.B,5,5,38,2.0,0,0,-0.1,0,False,False,46.37999999999997
35,Action.B,5,5,38,2.0,0,0,-0.1,0,False,False,46.279999999999966
36,Action.B,5,5,38,2.0,0,0,-0.1,0,False,False,46.179999999999964
37,Action.B,5,5,38,2.0,0,0,-0.1,0,False,False,46.07999999999996
38,Action.B,5,5,38,2.0,0,0,-0.1,0,False,False,45.97999999999996
39,Action.B,5,5,38,2.0,0,0,-0.1,0,False,False,45.87999999999996
40,Action.B,5,5,38,2.0,0,0,-0.1,0,False,False,45.77999999999996
41,Action.B,5,5,38,2.0,0,0,-2.1,0,False,False,43.67999999999996
42,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,43.579999999999956
43,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,43.479999999999954
44,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,43.37999999999995
45,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,43.27999999999995
46,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,43.17999999999995
47,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,43.07999999999995
48,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,42.97999999999995
49,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,42.879999999999946
50,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,42.779999999999944
51,Action.A,5,5,38,2.0,0,0,-2.1,0,False,False,40.67999999999994
52,Action.A,5,5,38,2.0,0,0,-2.1,0,False,False,38.57999999999994
53,Action.A,5,5,38,2.0,0,0,-2.1,0,False,False,36.47999999999994
54,Action.A,5,5,38,2.0,0,0,-2.1,0,False,False,34.37999999999994
55,Action.NO_OP,5,5,38,2.0,0,0,-0.1,0,False,False,34.27999999999994
56,Action.NO_OP,5,5,38,2.0,0,0,-0.1,0,False,False,34.179999999999936
57,Action.RIGHT,6,5,38,3.0,0,0,1.0,0,False,False,35.179999999999936
58,Action.LEFT,5,5,38,2.0,0,0,-0.1,0,False,False,35.079999999999934
59,Action.NO_OP,5,5,38,2.0,0,0,-0.1,0,False,False,34.97999999999993
60,Action.NO_OP,5,5,38,2.0,0,0,-0.1,0,False,False,34.87999999999993
61,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,34.77999999999993
62,Action.B,5,5,38,2.0,0,0,-0.1,0,False,False,34.67999999999993
63,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,34.57999999999993
64,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,34.479999999999926
65,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,34.379999999999924
66,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,34.27999999999992
67,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,34.17999999999992
68,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,34.07999999999992
69,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,33.97999999999992
70,Action.A,5,5,38,2.0,0,0,-0.1,0,False,False,33.87999999999992
