step,action,x,y,map,direction,hp,battle,reward,visited_tiles,terminated,truncated,episode_reward
1,Action.UP,5,4,38,1.0,0,0,50.0,0,False,False,50.0
2,Action.RIGHT,6,4,38,3.0,0,0,0.0,0,False,False,50.0
3,Action.RIGHT,7,4,38,3.0,0,0,0.0,0,False,False,50.0
4,Action.UP,7,3,38,1.0,0,0,0.0,0,False,False,50.0
5,Action.UP,7,2,38,1.0,0,0,0.0,0,False,False,50.0
6,Action.UP,7,1,37,1.0,0,0,60.0,0,False,False,110.0
7,Action.LEFT,7,1,37,1.0,0,0,1.0,0,False,False,111.0
8,Action.B,7,1,37,1.0,0,0,0.0,0,False,False,111.0
9,Action.A,7,1,37,1.0,0,0,-0.03,0,False,False,110.97
10,Action.LEFT,6,1,37,2.0,0,0,0.0,0,False,False,110.97
11,Action.DOWN,6,2,37,0.0,0,0,0.0,0,False,False,110.97
12,Action.LEFT,5,2,37,2.0,0,0,0.0,0,False,False,110.97
13,Action.RIGHT,6,2,37,3.0,0,0,1.0,0,False,False,111.97
14,Action.LEFT,5,2,37,2.0,0,0,1.0,0,False,False,112.97
15,Action.RIGHT,6,2,37,3.0,0,0,0.0,0,False,False,112.97
16,Action.UP,6,1,37,1.0,0,0,1.0,0,False,False,113.97
17,Action.DOWN,6,2,37,0.0,0,0,-0.03,0,False,False,113.94
18,Action.NO_OP,6,2,37,0.0,0,0,-0.04,0,False,False,113.89999999999999
19,Action.LEFT,5,2,37,2.0,0,0,0.0,0,False,False,113.89999999999999
20,Action.RIGHT,6,2,37,3.0,0,0,-0.05,0,False,False,113.85
21,Action.LEFT,5,2,37,2.0,0,0,-0.03,0,False,False,113.82
22,Action.RIGHT,6,2,37,3.0,0,0,-0.06,0,False,False,113.75999999999999
23,Action.NO_OP,6,2,37,3.0,0,0,-0.07,0,False,False,113.69
24,Action.LEFT,5,2,37,2.0,0,0,-0.04,0,False,False,113.64999999999999
25,Action.RIGHT,6,2,37,3.0,0,0,-0.08,0,False,False,113.57
26,Action.NO_OP,6,2,37,3.0,0,0,-0.09,0,False,False,113.47999999999999
27,Action.LEFT,5,2,37,2.0,0,0,-0.05,0,False,False,113.42999999999999
28,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,113.33
29,Action.UP,6,1,37,1.0,0,0,0.0,0,False,False,113.33
30,Action.DOWN,6,2,37,0.0,0,0,-0.1,0,False,False,113.23
31,Action.LEFT,5,2,37,2.0,0,0,-0.06,0,False,False,113.17
32,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,113.07000000000001
33,Action.LEFT,5,2,37,2.0,0,0,-0.07,0,False,False,113.00000000000001
34,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,112.90000000000002
35,Action.LEFT,5,2,37,2.0,0,0,-0.08,0,False,False,112.82000000000002
36,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,112.72000000000003
37,Action.LEFT,5,2,37,2.0,0,0,-0.09,0,False,False,112.63000000000002
38,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,112.53000000000003
39,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,112.43000000000004
40,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,112.33000000000004
41,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,112.23000000000005
42,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,112.13000000000005
43,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,112.03000000000006
44,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,111.93000000000006
45,Action.UP,6,1,37,1.0,0,0,-0.03,0,False,False,111.90000000000006
46,Action.A,6,1,37,1.0,0,0,-0.04,0,False,False,111.86000000000006
47,Action.DOWN,6,2,37,0.0,0,0,-0.1,0,False,False,111.76000000000006
48,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,111.66000000000007
49,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,111.56000000000007
50,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,111.46000000000008
51,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,111.36000000000008
52,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,111.26000000000009
53,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,111.1600000000001
54,Action.B,6,2,37,3.0,0,0,-0.1,0,False,False,111.0600000000001
55,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,110.96000000000011
56,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,110.86000000000011
57,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,110.76000000000012
58,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,110.66000000000012
59,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,110.56000000000013
60,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,110.46000000000014
61,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,110.36000000000014
62,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,110.26000000000015
63,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,110.16000000000015
64,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,110.06000000000016
65,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,109.96000000000016
66,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,109.86000000000017
67,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,109.76000000000018
68,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,109.66000000000018
69,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,109.56000000000019
70,Action.A,5,2,37,2.0,0,0,-0.1,0,False,False,109.46000000000019
71,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,109.3600000000002
72,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,109.2600000000002
73,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,109.16000000000021
74,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,109.06000000000022
75,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,108.96000000000022
76,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,108.86000000000023
77,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,108.76000000000023
78,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,108.66000000000024
79,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,108.56000000000024
80,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,108.46000000000025
81,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,108.36000000000026
82,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,108.26000000000026
83,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,108.16000000000027
84,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,108.06000000000027
85,Action.UP,5,1,37,1.0,0,0,0.0,0,False,False,108.06000000000027
86,Action.RIGHT,6,1,37,3.0,0,0,-0.05,0,False,False,108.01000000000028
87,Action.UP,6,1,37,1.0,0,0,-0.06,0,False,False,107.95000000000027
88,Action.DOWN,6,2,37,0.0,0,0,-0.1,0,False,False,107.85000000000028
89,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,107.75000000000028
90,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,107.65000000000029
91,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,107.5500000000003
92,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,107.4500000000003
93,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,107.3500000000003
94,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,107.25000000000031
95,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,107.15000000000032
96,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,107.05000000000032
97,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,106.95000000000033
98,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,106.85000000000034
99,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,106.75000000000034
100,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,106.65000000000035
101,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,106.55000000000035
102,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,106.45000000000036
103,Action.UP,6,1,37,1.0,0,0,-0.07,0,False,False,106.38000000000036
104,Action.LEFT,5,1,37,2.0,0,0,1.0,0,False,False,107.38000000000036
105,Action.UP,5,1,37,1.0,0,0,0.0,0,False,False,107.38000000000036
106,Action.NO_OP,5,1,37,1.0,0,0,-0.03,0,False,False,107.35000000000036
107,Action.RIGHT,6,1,37,3.0,0,0,-0.08,0,False,False,107.27000000000037
108,Action.B,6,1,37,3.0,0,0,-0.09,0,False,False,107.18000000000036
109,Action.DOWN,6,2,37,0.0,0,0,-0.1,0,False,False,107.08000000000037
110,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,106.98000000000037
111,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,106.88000000000038
112,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,106.78000000000038
113,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,106.68000000000039
114,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,106.5800000000004
115,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,106.4800000000004
116,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,106.38000000000041
117,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,106.28000000000041
118,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,106.18000000000042
119,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,106.08000000000042
120,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,105.98000000000043
121,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,105.88000000000044
122,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,105.78000000000044
123,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,105.68000000000045
124,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,105.58000000000045
125,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,105.48000000000046
126,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,105.38000000000046
127,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,105.28000000000047
128,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,105.18000000000048
129,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,105.08000000000048
130,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,104.98000000000049
131,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,104.88000000000049
132,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,104.7800000000005
133,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,104.6800000000005
134,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,104.58000000000051
135,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,104.48000000000052
136,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,104.38000000000052
137,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,104.28000000000053
138,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,104.18000000000053
139,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,104.08000000000054
140,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,103.98000000000054
141,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,103.88000000000055
142,Action.LEFT,5,2,37,2.0,0,0,-0.1,0,False,False,103.78000000000056
143,Action.B,5,2,37,2.0,0,0,-0.1,0,False,False,103.68000000000056
144,Action.RIGHT,6,2,37,3.0,0,0,-0.1,0,False,False,103.58000000000057
