step,action,x,y,map,direction,hp,battle,reward,visited_tiles,terminated,truncated,episode_reward
1,Action.RIGHT,6,5,38,3.0,0,0,50.0,0,False,False,50.0
2,Action.RIGHT,7,5,38,3.0,0,0,0.0,0,False,False,50.0
3,Action.UP,7,4,38,1.0,0,0,0.0,0,False,False,50.0
4,Action.UP,7,3,38,1.0,0,0,0.0,0,False,False,50.0
5,Action.UP,7,2,38,1.0,0,0,0.0,0,False,False,50.0
6,Action.UP,7,1,37,1.0,0,0,60.0,0,False,False,110.0
7,Action.RIGHT,7,1,37,1.0,0,0,1.0,0,False,False,111.0
8,Action.DOWN,7,1,37,1.0,0,0,0.0,0,False,False,111.0
9,Action.DOWN,7,1,37,0.0,0,0,-0.03,0,False,False,110.97
10,Action.UP,7,1,38,1.0,0,0,0.0,0,False,False,110.97
11,Action.NO_OP,7,1,38,1.0,0,0,1.0,0,False,False,111.97
12,Action.UP,7,1,38,1.0,0,0,0.0,0,False,False,111.97
13,Action.DOWN,7,1,38,1.0,0,0,-0.03,0,False,False,111.94
14,Action.DOWN,7,2,38,0.0,0,0,1.0,0,False,False,112.94
15,Action.A,7,2,38,0.0,0,0,0.0,0,False,False,112.94
16,Action.A,7,2,38,0.0,0,0,-0.03,0,False,False,112.91
17,Action.A,7,2,38,0.0,0,0,-0.04,0,False,False,112.86999999999999
18,Action.B,7,2,38,0.0,0,0,-0.05,0,False,False,112.82
19,Action.A,7,2,38,0.0,0,0,-0.06,0,False,False,112.75999999999999
20,Action.A,7,2,38,0.0,0,0,-0.07,0,False,False,112.69
21,Action.A,7,2,38,0.0,0,0,-0.08,0,False,False,112.61
22,Action.DOWN,7,3,38,0.0,0,0,1.0,0,False,False,113.61
23,Action.DOWN,7,4,38,0.0,0,0,1.0,0,False,False,114.61
24,Action.UP,7,3,38,1.0,0,0,0.0,0,False,False,114.61
25,Action.NO_OP,7,3,38,1.0,0,0,-0.03,0,False,False,114.58
26,Action.DOWN,7,4,38,0.0,0,0,0.0,0,False,False,114.58
27,Action.UP,7,3,38,1.0,0,0,-0.04,0,False,False,114.53999999999999
28,Action.UP,7,2,38,1.0,0,0,-0.09,0,False,False,114.44999999999999
29,Action.RIGHT,7,2,38,3.0,0,0,-0.1,0,False,False,114.35
30,Action.UP,7,1,37,1.0,0,0,-0.04,0,False,False,114.30999999999999
31,Action.DOWN,7,1,37,1.0,0,0,-0.05,0,False,False,114.25999999999999
32,Action.NO_OP,7,1,37,1.0,0,0,-0.06,0,False,False,114.19999999999999
33,Action.A,7,1,37,1.0,0,0,-0.07,0,False,False,114.13
34,Action.A,7,1,37,1.0,0,0,-0.08,0,False,False,114.05
35,Action.DOWN,7,2,37,0.0,0,0,0.0,0,False,False,114.05
36,Action.UP,7,1,38,1.0,0,0,-5.04,0,False,False,109.00999999999999
37,Action.DOWN,7,1,38,1.0,0,0,-0.05,0,False,False,108.96
38,Action.UP,7,1,38,1.0,0,0,-0.06,0,False,False,108.89999999999999
39,Action.DOWN,7,1,38,0.0,0,0,-0.07,0,False,False,108.83
40,Action.B,7,2,38,0.0,0,0,-0.1,0,False,False,108.73
41,Action.A,7,2,38,0.0,0,0,-0.1,0,False,False,108.63000000000001
42,Action.UP,7,1,37,1.0,0,0,-0.09,0,False,False,108.54
43,Action.LEFT,7,1,37,1.0,0,0,-0.1,0,False,False,108.44000000000001
44,Action.NO_OP,7,1,37,1.0,0,0,-0.1,0,False,False,108.34000000000002
45,Action.DOWN,7,1,37,0.0,0,0,-0.1,0,False,False,108.24000000000002
46,Action.UP,7,1,38,1.0,0,0,-0.08,0,False,False,108.16000000000003
47,Action.DOWN,7,1,38,1.0,0,0,-0.09,0,False,False,108.07000000000002
48,Action.UP,7,1,38,1.0,0,0,-0.1,0,False,False,107.97000000000003
49,Action.DOWN,7,1,38,1.0,0,0,-0.1,0,False,False,107.87000000000003
50,Action.DOWN,7,2,38,0.0,0,0,-0.1,0,False,False,107.77000000000004
51,Action.A,7,2,38,0.0,0,0,-0.1,0,False,False,107.67000000000004
52,Action.A,7,2,38,0.0,0,0,-0.1,0,False,False,107.57000000000005
53,Action.A,7,2,38,0.0,0,0,-0.1,0,False,False,107.47000000000006
54,Action.A,7,2,38,0.0,0,0,-0.1,0,False,False,107.37000000000006
55,Action.A,7,2,38,0.0,0,0,-0.1,0,False,False,107.27000000000007
56,Action.A,7,2,38,0.0,0,0,-0.1,0,False,False,107.17000000000007
57,Action.A,7,2,38,0.0,0,0,-0.1,0,False,False,107.07000000000008
58,Action.A,7,2,38,0.0,0,0,-0.1,0,False,False,106.97000000000008
59,Action.LEFT,6,2,38,2.0,0,0,0.0,0,False,False,106.97000000000008
60,Action.RIGHT,7,2,38,3.0,0,0,-0.1,0,False,False,106.87000000000009
61,Action.RIGHT,7,2,38,3.0,0,0,-0.1,0,False,False,106.7700000000001
62,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,106.6700000000001
63,Action.DOWN,7,1,37,1.0,0,0,-0.1,0,False,False,106.5700000000001
64,Action.NO_OP,7,1,37,1.0,0,0,-0.1,0,False,False,106.47000000000011
65,Action.DOWN,7,1,37,0.0,0,0,-0.1,0,False,False,106.37000000000012
66,Action.UP,7,1,38,1.0,0,0,-5.1,0,False,False,101.27000000000012
