step,action,x,y,map,direction,hp,battle,reward,visited_tiles,terminated,truncated,episode_reward
1,Action.NO_OP,5,5,38,1.0,0,0,50.0,0,False,False,50.0
2,Action.UP,5,4,38,1.0,0,0,0.0,0,False,False,50.0
3,Action.A,5,4,38,1.0,0,0,1.0,0,False,False,51.0
4,Action.A,5,4,38,1.0,0,0,0.0,0,False,False,51.0
5,Action.LEFT,4,4,38,2.0,0,0,0.0,0,False,False,51.0
6,Action.A,4,4,38,2.0,0,0,1.0,0,False,False,52.0
7,Action.UP,4,3,38,1.0,0,0,0.0,0,False,False,52.0
8,Action.UP,4,2,38,1.0,0,0,0.0,0,False,False,52.0
9,Action.B,4,2,38,1.0,0,0,1.0,0,False,False,53.0
10,Action.NO_OP,4,2,38,1.0,0,0,0.0,0,False,False,53.0
11,Action.RIGHT,5,2,38,3.0,0,0,0.0,0,False,False,53.0
12,Action.LEFT,4,2,38,2.0,0,0,-0.03,0,False,False,52.97
13,Action.RIGHT,5,2,38,3.0,0,0,1.0,0,False,False,53.97
14,Action.LEFT,4,2,38,2.0,0,0,-0.04,0,False,False,53.93
15,Action.B,4,2,38,2.0,0,0,-0.05,0,False,False,53.88
16,Action.NO_OP,4,2,38,2.0,0,0,-0.06,0,False,False,53.82
17,Action.A,4,2,38,2.0,0,0,-0.07,0,False,False,53.75
18,Action.A,4,2,38,2.0,0,0,-0.08,0,False,False,53.67
19,Action.UP,4,1,38,1.0,0,0,0.0,0,False,False,53.67
20,Action.RIGHT,5,1,38,3.0,0,0,0.0,0,False,False,53.67
21,Action.LEFT,4,1,38,2.0,0,0,1.0,0,False,False,54.67
22,Action.B,4,1,38,2.0,0,0,0.0,0,False,False,54.67
23,Action.DOWN,4,2,38,0.0,0,0,-0.09,0,False,False,54.58
24,Action.LEFT,3,2,38,2.0,0,0,0.0,0,False,False,54.58
25,Action.LEFT,2,2,38,2.0,0,0,0.0,0,False,False,54.58
26,Action.A,2,2,38,2.0,0,0,1.0,0,False,False,55.58
27,Action.UP,2,2,38,1.0,0,0,0.0,0,False,False,55.58
28,Action.LEFT,1,2,38,2.0,0,0,0.0,0,False,False,55.58
29,Action.RIGHT,2,2,38,3.0,0,0,-0.03,0,False,False,55.55
30,Action.LEFT,1,2,38,2.0,0,0,1.0,0,False,False,56.55
31,Action.A,1,2,38,2.0,0,0,0.0,0,False,False,56.55
32,Action.A,1,2,38,2.0,0,0,-0.03,0,False,False,56.519999999999996
33,Action.B,1,2,38,2.0,0,0,-0.04,0,False,False,56.48
34,Action.RIGHT,2,2,38,3.0,0,0,-0.04,0,False,False,56.44
35,Action.LEFT,1,2,38,2.0,0,0,-0.05,0,False,False,56.39
36,Action.UP,1,2,38,1.0,0,0,-0.06,0,False,False,56.33
37,Action.A,1,2,38,1.0,0,0,-0.07,0,False,False,56.26
38,Action.DOWN,1,3,38,0.0,0,0,0.0,0,False,False,56.26
39,Action.B,1,3,38,0.0,0,0,1.0,0,False,False,57.26
40,Action.NO_OP,1,3,38,0.0,0,0,0.0,0,False,False,57.26
41,Action.UP,1,2,38,1.0,0,0,-0.08,0,False,False,57.18
42,Action.LEFT,0,2,38,2.0,0,0,0.0,0,False,False,57.18
43,Action.RIGHT,1,2,38,3.0,0,0,-0.09,0,False,False,57.089999999999996
44,Action.B,1,2,38,3.0,0,0,-0.1,0,False,False,56.989999999999995
45,Action.LEFT,0,2,38,2.0,0,0,1.0,0,False,False,57.989999999999995
46,Action.LEFT,0,2,38,2.0,0,0,0.0,0,False,False,57.989999999999995
47,Action.NO_OP,0,2,38,2.0,0,0,-0.03,0,False,False,57.959999999999994
48,Action.RIGHT,1,2,38,3.0,0,0,-0.1,0,False,False,57.85999999999999
49,Action.NO_OP,1,2,38,3.0,0,0,-0.1,0,False,False,57.75999999999999
50,Action.UP,1,2,38,1.0,0,0,-0.1,0,False,False,57.65999999999999
51,Action.DOWN,1,3,38,0.0,0,0,-0.03,0,False,False,57.62999999999999
52,Action.NO_OP,1,3,38,0.0,0,0,-0.04,0,False,False,57.58999999999999
53,Action.RIGHT,2,3,38,3.0,0,0,0.0,0,False,False,57.58999999999999
54,Action.UP,2,2,38,1.0,0,0,-0.05,0,False,False,57.53999999999999
55,Action.NO_OP,2,2,38,1.0,0,0,-0.06,0,False,False,57.47999999999999
56,Action.UP,2,2,38,1.0,0,0,-0.07,0,False,False,57.40999999999999
57,Action.NO_OP,2,2,38,1.0,0,0,-0.08,0,False,False,57.32999999999999
58,Action.A,2,2,38,1.0,0,0,-0.09,0,False,False,57.23999999999999
59,Action.UP,2,2,38,1.0,0,0,-0.1,0,False,False,57.139999999999986
60,Action.RIGHT,3,2,38,3.0,0,0,1.0,0,False,False,58.139999999999986
61,Action.UP,3,1,38,1.0,0,0,0.0,0,False,False,58.139999999999986
62,Action.LEFT,3,1,38,2.0,0,0,1.0,0,False,False,59.139999999999986
63,Action.A,3,1,38,2.0,0,0,0.0,0,False,False,59.139999999999986
64,Action.A,3,1,38,2.0,0,0,-0.03,0,False,False,59.109999999999985
65,Action.A,3,1,38,2.0,0,0,-0.04,0,False,False,59.069999999999986
66,Action.A,3,1,38,2.0,0,0,-0.05,0,False,False,59.01999999999999
67,Action.UP,3,1,38,1.0,0,0,-0.06,0,False,False,58.95999999999999
68,Action.B,3,1,38,1.0,0,0,-0.07,0,False,False,58.889999999999986
69,Action.A,3,1,38,1.0,0,0,-0.08,0,False,False,58.80999999999999
70,Action.RIGHT,4,1,38,3.0,0,0,-0.03,0,False,False,58.77999999999999
71,Action.UP,4,1,38,1.0,0,0,-0.04,0,False,False,58.73999999999999
72,Action.A,4,1,38,1.0,0,0,-0.05,0,False,False,58.68999999999999
73,Action.LEFT,3,1,38,2.0,0,0,-0.09,0,False,False,58.59999999999999
74,Action.RIGHT,4,1,38,3.0,0,0,-0.06,0,False,False,58.539999999999985
75,Action.NO_OP,4,1,38,3.0,0,0,-0.07,0,False,False,58.469999999999985
76,Action.UP,4,1,38,1.0,0,0,-0.08,0,False,False,58.389999999999986
77,Action.B,4,1,38,1.0,0,0,-0.09,0,False,False,58.29999999999998
78,Action.DOWN,4,2,38,0.0,0,0,-0.1,0,False,False,58.19999999999998
79,Action.UP,4,1,38,1.0,0,0,-0.1,0,False,False,58.09999999999998
80,Action.RIGHT,5,1,38,3.0,0,0,1.0,0,False,False,59.09999999999998
81,Action.UP,5,1,38,1.0,0,0,0.0,0,False,False,59.09999999999998
82,Action.A,5,1,38,1.0,0,0,-0.03,0,False,False,59.06999999999998
83,Action.RIGHT,6,1,38,3.0,0,0,0.0,0,False,False,59.06999999999998
84,Action.RIGHT,7,1,37,3.0,0,0,60.0,0,False,False,119.06999999999998
85,Action.B,7,1,37,3.0,0,0,1.0,0,False,False,120.06999999999998
86,Action.DOWN,7,1,37,3.0,0,0,0.0,0,False,False,120.06999999999998
87,Action.B,7,1,37,3.0,0,0,-0.03,0,False,False,120.03999999999998
88,Action.A,7,1,37,3.0,0,0,-0.04,0,False,False,119.99999999999997
89,Action.LEFT,6,1,37,2.0,0,0,0.0,0,False,False,119.99999999999997
90,Action.NO_OP,6,1,37,2.0,0,0,1.0,0,False,False,120.99999999999997
91,Action.NO_OP,6,1,37,2.0,0,0,0.0,0,False,False,120.99999999999997
92,Action.B,6,1,37,2.0,0,0,-0.03,0,False,False,120.96999999999997
93,Action.LEFT,5,1,37,2.0,0,0,0.0,0,False,False,120.96999999999997
94,Action.RIGHT,6,1,37,3.0,0,0,-0.04,0,False,False,120.92999999999996
95,Action.NO_OP,6,1,37,3.0,0,0,-0.05,0,False,False,120.87999999999997
96,Action.LEFT,5,1,37,2.0,0,0,1.0,0,False,False,121.87999999999997
97,Action.A,5,1,37,2.0,0,0,0.0,0,False,False,121.87999999999997
98,Action.B,5,1,37,2.0,0,0,-0.03,0,False,False,121.84999999999997
99,Action.B,5,1,37,2.0,0,0,-0.04,0,False,False,121.80999999999996
100,Action.NO_OP,5,1,37,2.0,0,0,-0.05,0,False,False,121.75999999999996
101,Action.NO_OP,5,1,37,2.0,0,0,-0.06,0,False,False,121.69999999999996
102,Action.UP,5,1,37,1.0,0,0,-0.07,0,False,False,121.62999999999997
103,Action.NO_OP,5,1,37,1.0,0,0,-0.08,0,False,False,121.54999999999997
104,Action.DOWN,5,2,37,0.0,0,0,0.0,0,False,False,121.54999999999997
105,Action.NO_OP,5,2,37,0.0,0,0,1.0,0,False,False,122.54999999999997
106,Action.A,5,2,37,0.0,0,0,0.0,0,False,False,122.54999999999997
107,Action.B,5,2,37,0.0,0,0,-0.03,0,False,False,122.51999999999997
108,Action.B,5,2,37,0.0,0,0,-0.04,0,False,False,122.47999999999996
109,Action.LEFT,4,2,37,2.0,0,0,0.0,0,False,False,122.47999999999996
110,Action.UP,4,1,37,1.0,0,0,0.0,0,False,False,122.47999999999996
111,Action.B,4,1,37,1.0,0,0,1.0,0,False,False,123.47999999999996
112,Action.LEFT,4,1,37,2.0,0,0,0.0,0,False,False,123.47999999999996
113,Action.UP,4,1,37,1.0,0,0,-0.03,0,False,False,123.44999999999996
114,Action.RIGHT,5,1,37,3.0,0,0,-0.09,0,False,False,123.35999999999996
115,Action.A,5,1,37,3.0,0,0,-0.1,0,False,False,123.25999999999996
116,Action.RIGHT,6,1,37,3.0,0,0,-0.06,0,False,False,123.19999999999996
117,Action.A,6,1,37,3.0,0,0,-0.07,0,False,False,123.12999999999997
118,Action.NO_OP,6,1,37,3.0,0,0,-0.08,0,False,False,123.04999999999997
119,Action.LEFT,5,1,37,2.0,0,0,-0.1,0,False,False,122.94999999999997
