step,action,x,y,map,direction,hp,battle,reward,visited_tiles,terminated,truncated,episode_reward
1,Action.RIGHT,6,5,38,3.0,0,0,50.0,0,False,False,50.0
2,Action.RIGHT,7,5,38,3.0,0,0,0.0,0,False,False,50.0
3,Action.UP,7,4,38,1.0,0,0,0.0,0,False,False,50.0
4,Action.UP,7,3,38,1.0,0,0,0.0,0,False,False,50.0
5,Action.LEFT,6,3,38,2.0,0,0,0.0,0,False,False,50.0
6,Action.RIGHT,7,3,38,3.0,0,0,1.0,0,False,False,51.0
7,Action.UP,7,2,38,1.0,0,0,0.0,0,False,False,51.0
8,Action.UP,7,1,37,1.0,0,0,60.0,0,False,False,111.0
9,Action.LEFT,7,1,37,1.0,0,0,1.0,0,False,False,112.0
10,Action.RIGHT,7,1,37,1.0,0,0,0.0,0,False,False,112.0
11,Action.NO_OP,7,1,37,1.0,0,0,-0.03,0,False,False,111.97
12,Action.DOWN,7,2,37,0.0,0,0,0.0,0,False,False,111.97
13,Action.UP,7,1,38,1.0,0,0,0.0,0,False,False,111.97
14,Action.LEFT,7,1,38,1.0,0,0,1.0,0,False,False,112.97
15,Action.RIGHT,7,1,38,1.0,0,0,0.0,0,False,False,112.97
16,Action.DOWN,7,1,38,0.0,0,0,-0.03,0,False,False,112.94
17,Action.DOWN,7,3,38,0.0,0,0,0.0,0,False,False,112.94
18,Action.UP,7,2,38,1.0,0,0,1.0,0,False,False,113.94
19,Action.UP,7,1,37,1.0,0,0,-0.04,0,False,False,113.89999999999999
20,Action.LEFT,7,1,37,1.0,0,0,-0.05,0,False,False,113.85
21,Action.NO_OP,7,1,37,1.0,0,0,-0.06,0,False,False,113.78999999999999
22,Action.DOWN,7,1,37,0.0,0,0,-0.07,0,False,False,113.72
23,Action.B,7,2,37,0.0,0,0,1.0,0,False,False,114.72
24,Action.DOWN,7,3,37,0.0,0,0,0.0,0,False,False,114.72
25,Action.LEFT,6,3,37,2.0,0,0,0.0,0,False,False,114.72
26,Action.DOWN,6,4,37,0.0,0,0,0.0,0,False,False,114.72
27,Action.DOWN,6,5,37,0.0,0,0,0.0,0,False,False,114.72
28,Action.DOWN,6,6,37,0.0,0,0,0.0,0,False,False,114.72
29,Action.B,6,6,37,0.0,0,0,1.0,0,False,False,115.72
30,Action.LEFT,5,6,37,2.0,0,0,0.0,0,False,False,115.72
31,Action.LEFT,4,6,37,2.0,0,0,0.0,0,False,False,115.72
32,Action.LEFT,3,6,37,2.0,0,0,0.0,0,False,False,115.72
33,Action.B,3,6,37,2.0,0,0,1.0,0,False,False,116.72
34,Action.A,3,6,37,2.0,0,0,0.0,0,False,False,116.72
35,Action.B,3,6,37,2.0,0,0,-0.03,0,False,False,116.69
36,Action.B,3,6,37,2.0,0,0,-0.04,0,False,False,116.64999999999999
37,Action.B,3,6,37,2.0,0,0,-0.05,0,False,False,116.6
38,Action.A,3,6,37,2.0,0,0,-0.06,0,False,False,116.53999999999999
39,Action.UP,3,6,37,1.0,0,0,-0.07,0,False,False,116.47
40,Action.UP,3,6,37,1.0,0,0,-0.08,0,False,False,116.39
41,Action.UP,3,6,37,1.0,0,0,-0.09,0,False,False,116.3
42,Action.DOWN,3,7,37,0.0,0,0,0.0,0,False,False,116.3
43,Action.DOWN,3,7,0,0.0,0,0,50.0,0,False,False,166.3
44,Action.UP,5,5,0,0.0,0,0,0.0,0,False,False,166.3
45,Action.RIGHT,5,6,0,0.0,0,0,0.0,0,False,False,166.3
46,Action.RIGHT,6,6,0,3.0,0,0,0.0,0,False,False,166.3
47,Action.RIGHT,7,6,0,3.0,0,0,0.0,0,False,False,166.3
48,Action.RIGHT,8,6,0,3.0,0,0,0.0,0,False,False,166.3
49,Action.NO_OP,8,6,0,3.0,0,0,1.0,0,False,False,167.3
50,Action.NO_OP,8,6,0,3.0,0,0,0.0,0,False,False,167.3
51,Action.B,8,6,0,3.0,0,0,-0.03,0,False,False,167.27
52,Action.B,8,6,0,3.0,0,0,-0.04,0,False,False,167.23000000000002
53,Action.NO_OP,8,6,0,3.0,0,0,-0.05,0,False,False,167.18
54,Action.B,8,6,0,3.0,0,0,-0.06,0,False,False,167.12
55,Action.LEFT,7,6,0,2.0,0,0,1.0,0,False,False,168.12
56,Action.RIGHT,8,6,0,3.0,0,0,-0.07,0,False,False,168.05
57,Action.B,8,6,0,3.0,0,0,-0.08,0,False,False,167.97
58,Action.LEFT,7,6,0,2.0,0,0,0.0,0,False,False,167.97
59,Action.RIGHT,8,6,0,3.0,0,0,-0.09,0,False,False,167.88
60,Action.B,8,6,0,3.0,0,0,-0.1,0,False,False,167.78
61,Action.B,8,6,0,3.0,0,0,-0.1,0,False,False,167.68
62,Action.B,8,6,0,3.0,0,0,-0.1,0,False,False,167.58
63,Action.B,8,6,0,3.0,0,0,-0.1,0,False,False,167.48000000000002
64,Action.B,8,6,0,3.0,0,0,-0.1,0,False,False,167.38000000000002
65,Action.B,8,6,0,3.0,0,0,-0.1,0,False,False,167.28000000000003
66,Action.B,8,6,0,3.0,0,0,-0.1,0,False,False,167.18000000000004
67,Action.B,8,6,0,3.0,0,0,-0.1,0,False,False,167.08000000000004
68,Action.B,8,6,0,3.0,0,0,-0.1,0,False,False,166.98000000000005
