step,action,x,y,map,direction,hp,battle,reward,visited_tiles,terminated,truncated,episode_reward
1,Action.UP,5,4,38,1.0,0,0,50.0,0,False,False,50.0
2,Action.UP,5,3,38,1.0,0,0,0.0,0,False,False,50.0
3,Action.UP,5,2,38,1.0,0,0,0.0,0,False,False,50.0
4,Action.RIGHT,6,2,38,3.0,0,0,0.0,0,False,False,50.0
5,Action.RIGHT,7,2,38,3.0,0,0,0.0,0,False,False,50.0
6,Action.UP,7,1,37,1.0,0,0,60.0,0,False,False,110.0
7,Action.B,7,1,37,1.0,0,0,1.0,0,False,False,111.0
8,Action.A,7,1,37,1.0,0,0,0.0,0,False,False,111.0
9,Action.UP,7,1,37,1.0,0,0,-0.03,0,False,False,110.97
10,Action.UP,7,1,37,1.0,0,0,-0.04,0,False,False,110.92999999999999
11,Action.UP,7,1,37,1.0,0,0,-0.05,0,False,False,110.88
12,Action.UP,7,1,37,1.0,0,0,-0.06,0,False,False,110.82
13,Action.UP,7,1,37,1.0,0,0,-0.07,0,False,False,110.75
14,Action.UP,7,1,37,1.0,0,0,-0.08,0,False,False,110.67
15,Action.UP,7,1,37,1.0,0,0,-0.09,0,False,False,110.58
16,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,110.48
17,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,110.38000000000001
18,Action.UP,7,1,37,1.0,0,0,-2.1,0,False,False,108.28000000000002
19,Action.UP,7,1,37,1.0,0,0,-2.1,0,False,False,106.18000000000002
20,Action.UP,7,1,37,1.0,0,0,-2.1,0,False,False,104.08000000000003
21,Action.UP,7,1,37,1.0,0,0,-2.1,0,False,False,101.98000000000003
22,Action.UP,7,1,37,1.0,0,0,-2.1,0,False,False,99.88000000000004
23,Action.UP,7,1,37,1.0,0,0,-2.1,0,False,False,97.78000000000004
24,Action.UP,7,1,37,1.0,0,0,-2.1,0,False,False,95.68000000000005
25,Action.UP,7,1,37,1.0,0,0,-2.1,0,False,False,93.58000000000006
26,Action.UP,7,1,37,1.0,0,0,-2.1,0,False,False,91.48000000000006
27,Action.RIGHT,7,1,37,3.0,0,0,-0.1,0,False,False,91.38000000000007
28,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,91.28000000000007
29,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,91.18000000000008
30,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,91.08000000000008
31,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,90.98000000000009
32,Action.RIGHT,7,1,37,3.0,0,0,-0.1,0,False,False,90.8800000000001
33,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,90.7800000000001
34,Action.RIGHT,7,1,37,3.0,0,0,-0.1,0,False,False,90.6800000000001
35,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,90.58000000000011
36,Action.RIGHT,7,1,37,3.0,0,0,-0.1,0,False,False,90.48000000000012
37,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,90.38000000000012
38,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,90.28000000000013
39,Action.B,7,1,37,1.0,0,0,-0.1,0,False,False,90.18000000000013
40,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,90.08000000000014
41,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,89.98000000000015
42,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,89.88000000000015
43,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,89.78000000000016
44,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,89.68000000000016
45,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,89.58000000000017
46,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,89.48000000000017
47,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,89.38000000000018
48,Action.RIGHT,7,1,37,3.0,0,0,-0.1,0,False,False,89.28000000000019
49,Action.A,7,1,37,3.0,0,0,-0.1,0,False,False,89.18000000000019
50,Action.RIGHT,7,1,37,3.0,0,0,-0.1,0,False,False,89.0800000000002
51,Action.RIGHT,7,1,37,3.0,0,0,-0.1,0,False,False,88.9800000000002
52,Action.RIGHT,7,1,37,3.0,0,0,-0.1,0,False,False,88.88000000000021
53,Action.RIGHT,7,1,37,3.0,0,0,-0.1,0,False,False,88.78000000000021
54,Action.RIGHT,7,1,37,3.0,0,0,-0.1,0,False,False,88.68000000000022
55,Action.RIGHT,7,1,37,3.0,0,0,-0.1,0,False,False,88.58000000000023
56,Action.RIGHT,7,1,37,3.0,0,0,-0.1,0,False,False,88.48000000000023
57,Action.RIGHT,7,1,37,3.0,0,0,-0.1,0,False,False,88.38000000000024
58,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,88.28000000000024
59,Action.RIGHT,7,1,37,3.0,0,0,-0.1,0,False,False,88.18000000000025
60,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,88.08000000000025
61,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,87.98000000000026
62,Action.LEFT,6,1,37,2.0,0,0,0.0,0,False,False,87.98000000000026
63,Action.RIGHT,7,1,38,3.0,0,0,0.0,0,False,False,87.98000000000026
64,Action.LEFT,7,1,38,3.0,0,0,1.0,0,False,False,88.98000000000026
65,Action.RIGHT,7,1,38,3.0,0,0,0.0,0,False,False,88.98000000000026
66,Action.UP,7,1,38,1.0,0,0,-0.03,0,False,False,88.95000000000026
67,Action.DOWN,7,2,38,0.0,0,0,1.0,0,False,False,89.95000000000026
68,Action.LEFT,6,2,38,2.0,0,0,1.0,0,False,False,90.95000000000026
69,Action.LEFT,5,2,38,2.0,0,0,1.0,0,False,False,91.95000000000026
70,Action.A,5,2,38,2.0,0,0,0.0,0,False,False,91.95000000000026
71,Action.A,5,2,38,2.0,0,0,-0.03,0,False,False,91.92000000000026
72,Action.LEFT,4,2,38,2.0,0,0,0.0,0,False,False,91.92000000000026
73,Action.LEFT,3,2,38,2.0,0,0,0.0,0,False,False,91.92000000000026
74,Action.DOWN,3,3,38,0.0,0,0,0.0,0,False,False,91.92000000000026
75,Action.LEFT,2,3,38,2.0,0,0,0.0,0,False,False,91.92000000000026
76,Action.A,2,3,38,2.0,0,0,1.0,0,False,False,92.92000000000026
77,Action.UP,2,2,38,1.0,0,0,0.0,0,False,False,92.92000000000026
78,Action.UP,2,2,38,1.0,0,0,1.0,0,False,False,93.92000000000026
79,Action.B,2,2,38,1.0,0,0,0.0,0,False,False,93.92000000000026
80,Action.UP,2,2,38,1.0,0,0,-0.03,0,False,False,93.89000000000026
81,Action.UP,2,2,38,1.0,0,0,-0.04,0,False,False,93.85000000000025
82,Action.UP,2,2,38,1.0,0,0,-0.05,0,False,False,93.80000000000025
83,Action.UP,2,2,38,1.0,0,0,-0.06,0,False,False,93.74000000000025
84,Action.UP,2,2,38,1.0,0,0,-0.07,0,False,False,93.67000000000026
