step,action,x,y,map,direction,hp,battle,reward,visited_tiles,terminated,truncated,episode_reward
1,Action.UP,5,4,38,1.0,0,0,50.0,0,False,False,50.0
2,Action.RIGHT,6,4,38,3.0,0,0,0.0,0,False,False,50.0
3,Action.RIGHT,7,4,38,3.0,0,0,0.0,0,False,False,50.0
4,Action.UP,7,3,38,1.0,0,0,0.0,0,False,False,50.0
5,Action.UP,7,2,38,1.0,0,0,0.0,0,False,False,50.0
6,Action.UP,7,1,37,1.0,0,0,60.0,0,False,False,110.0
7,Action.RIGHT,7,1,37,1.0,0,0,1.0,0,False,False,111.0
8,Action.DOWN,7,1,37,1.0,0,0,0.0,0,False,False,111.0
9,Action.UP,7,1,37,1.0,0,0,-0.03,0,False,False,110.97
10,Action.UP,7,1,37,1.0,0,0,-0.04,0,False,False,110.92999999999999
11,Action.UP,7,1,37,1.0,0,0,-0.05,0,False,False,110.88
12,Action.UP,7,1,37,1.0,0,0,-0.06,0,False,False,110.82
13,Action.UP,7,1,37,1.0,0,0,-0.07,0,False,False,110.75
14,Action.UP,7,1,37,1.0,0,0,-0.08,0,False,False,110.67
15,Action.UP,7,1,37,1.0,0,0,-0.09,0,False,False,110.58
16,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,110.48
17,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,110.38000000000001
18,Action.UP,7,1,37,1.0,0,0,-2.1,0,False,False,108.28000000000002
19,Action.B,7,1,37,1.0,0,0,-0.1,0,False,False,108.18000000000002
20,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,108.08000000000003
21,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,107.98000000000003
22,Action.RIGHT,7,1,37,3.0,0,0,-0.1,0,False,False,107.88000000000004
23,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,107.78000000000004
24,Action.RIGHT,7,1,37,3.0,0,0,-0.1,0,False,False,107.68000000000005
25,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,107.58000000000006
26,Action.RIGHT,7,1,37,3.0,0,0,-0.1,0,False,False,107.48000000000006
27,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,107.38000000000007
28,Action.LEFT,6,1,37,2.0,0,0,0.0,0,False,False,107.38000000000007
29,Action.DOWN,6,2,37,0.0,0,0,0.0,0,False,False,107.38000000000007
30,Action.DOWN,6,3,37,0.0,0,0,0.0,0,False,False,107.38000000000007
31,Action.NO_OP,6,3,37,0.0,0,0,1.0,0,False,False,108.38000000000007
32,Action.B,6,3,37,0.0,0,0,0.0,0,False,False,108.38000000000007
33,Action.UP,6,2,37,1.0,0,0,1.0,0,False,False,109.38000000000007
34,Action.DOWN,6,3,37,0.0,0,0,-0.03,0,False,False,109.35000000000007
35,Action.B,6,3,37,0.0,0,0,-0.04,0,False,False,109.31000000000006
36,Action.B,6,3,37,0.0,0,0,-0.05,0,False,False,109.26000000000006
37,Action.UP,6,2,37,1.0,0,0,0.0,0,False,False,109.26000000000006
38,Action.DOWN,6,3,37,0.0,0,0,-0.06,0,False,False,109.20000000000006
39,Action.B,6,3,37,0.0,0,0,-0.07,0,False,False,109.13000000000007
40,Action.NO_OP,6,3,37,0.0,0,0,-0.08,0,False,False,109.05000000000007
41,Action.DOWN,6,4,37,0.0,0,0,0.0,0,False,False,109.05000000000007
42,Action.RIGHT,7,4,37,3.0,0,0,0.0,0,False,False,109.05000000000007
43,Action.UP,7,3,37,1.0,0,0,0.0,0,False,False,109.05000000000007
44,Action.UP,7,2,37,1.0,0,0,0.0,0,False,False,109.05000000000007
45,Action.UP,7,1,38,1.0,0,0,0.0,0,False,False,109.05000000000007
46,Action.DOWN,7,1,38,1.0,0,0,1.0,0,False,False,110.05000000000007
47,Action.NO_OP,7,1,38,1.0,0,0,0.0,0,False,False,110.05000000000007
48,Action.DOWN,7,1,38,0.0,0,0,-0.03,0,False,False,110.02000000000007
49,Action.DOWN,7,3,38,0.0,0,0,1.0,0,False,False,111.02000000000007
50,Action.LEFT,6,3,38,2.0,0,0,0.0,0,False,False,111.02000000000007
51,Action.NO_OP,6,3,38,2.0,0,0,1.0,0,False,False,112.02000000000007
52,Action.NO_OP,6,3,38,2.0,0,0,0.0,0,False,False,112.02000000000007
53,Action.NO_OP,6,3,38,2.0,0,0,-0.03,0,False,False,111.99000000000007
54,Action.RIGHT,7,3,38,3.0,0,0,0.0,0,False,False,111.99000000000007
55,Action.DOWN,7,4,38,0.0,0,0,1.0,0,False,False,112.99000000000007
56,Action.UP,7,3,38,1.0,0,0,-0.03,0,False,False,112.96000000000006
57,Action.UP,7,2,38,1.0,0,0,1.0,0,False,False,113.96000000000006
58,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,113.86000000000007
59,Action.LEFT,7,1,37,1.0,0,0,-0.1,0,False,False,113.76000000000008
60,Action.RIGHT,7,1,37,1.0,0,0,-0.1,0,False,False,113.66000000000008
61,Action.A,7,1,37,1.0,0,0,-0.1,0,False,False,113.56000000000009
62,Action.B,7,1,37,1.0,0,0,-0.1,0,False,False,113.4600000000001
63,Action.LEFT,6,1,37,2.0,0,0,1.0,0,False,False,114.4600000000001
64,Action.DOWN,6,2,37,0.0,0,0,-0.03,0,False,False,114.43000000000009
65,Action.DOWN,6,3,37,0.0,0,0,-0.09,0,False,False,114.34000000000009
66,Action.B,6,3,37,0.0,0,0,-0.1,0,False,False,114.2400000000001
67,Action.B,6,3,37,0.0,0,0,-0.1,0,False,False,114.1400000000001
68,Action.B,6,3,37,0.0,0,0,-0.1,0,False,False,114.0400000000001
69,Action.A,6,3,37,0.0,0,0,-0.1,0,False,False,113.94000000000011
70,Action.A,6,3,37,0.0,0,0,-0.1,0,False,False,113.84000000000012
71,Action.A,6,3,37,0.0,0,0,-0.1,0,False,False,113.74000000000012
72,Action.NO_OP,6,3,37,0.0,0,0,-0.1,0,False,False,113.64000000000013
73,Action.NO_OP,6,3,37,0.0,0,0,-0.1,0,False,False,113.54000000000013
74,Action.RIGHT,7,3,37,3.0,0,0,1.0,0,False,False,114.54000000000013
75,Action.LEFT,6,3,37,2.0,0,0,-0.1,0,False,False,114.44000000000014
76,Action.RIGHT,7,3,37,3.0,0,0,0.0,0,False,False,114.44000000000014
77,Action.RIGHT,7,3,37,3.0,0,0,-0.03,0,False,False,114.41000000000014
78,Action.LEFT,6,3,37,2.0,0,0,-0.1,0,False,False,114.31000000000014
79,Action.B,6,3,37,2.0,0,0,-0.1,0,False,False,114.21000000000015
80,Action.DOWN,6,4,37,0.0,0,0,1.0,0,False,False,115.21000000000015
81,Action.RIGHT,7,4,37,3.0,0,0,1.0,0,False,False,116.21000000000015
82,Action.UP,7,3,37,1.0,0,0,-0.04,0,False,False,116.17000000000014
83,Action.UP,7,2,37,1.0,0,0,1.0,0,False,False,117.17000000000014
84,Action.UP,7,1,38,1.0,0,0,-5.04,0,False,False,112.13000000000014
85,Action.UP,7,1,38,1.0,0,0,-0.05,0,False,False,112.08000000000014
86,Action.A,7,1,38,1.0,0,0,-0.06,0,False,False,112.02000000000014
87,Action.DOWN,7,1,38,0.0,0,0,-0.07,0,False,False,111.95000000000014
88,Action.DOWN,7,3,38,0.0,0,0,-0.04,0,False,False,111.91000000000014
89,Action.DOWN,7,4,38,0.0,0,0,0.0,0,False,False,111.91000000000014
90,Action.NO_OP,7,4,38,0.0,0,0,-0.03,0,False,False,111.88000000000014
91,Action.UP,7,3,38,1.0,0,0,-0.05,0,False,False,111.83000000000014
92,Action.UP,7,2,38,1.0,0,0,0.0,0,False,False,111.83000000000014
93,Action.RIGHT,7,2,38,3.0,0,0,-0.03,0,False,False,111.80000000000014
94,Action.DOWN,7,3,38,0.0,0,0,-0.06,0,False,False,111.74000000000014
95,Action.DOWN,7,4,38,0.0,0,0,-0.04,0,False,False,111.70000000000013
96,Action.NO_OP,7,4,38,0.0,0,0,-0.05,0,False,False,111.65000000000013
97,Action.UP,7,3,38,1.0,0,0,-0.07,0,False,False,111.58000000000014
98,Action.UP,7,2,38,1.0,0,0,-0.04,0,False,False,111.54000000000013
99,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,111.44000000000014
100,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,111.34000000000015
101,Action.RIGHT,7,1,37,1.0,0,0,-0.1,0,False,False,111.24000000000015
102,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,111.14000000000016
103,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,111.04000000000016
104,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,110.94000000000017
105,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,110.84000000000017
106,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,110.74000000000018
107,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,110.64000000000019
108,Action.UP,7,1,37,1.0,0,0,-0.1,0,False,False,110.54000000000019
109,Action.LEFT,6,1,37,2.0,0,0,0.0,0,False,False,110.54000000000019
110,Action.DOWN,6,2,37,0.0,0,0,-0.04,0,False,False,110.50000000000018
111,Action.DOWN,6,3,37,0.0,0,0,-0.1,0,False,False,110.40000000000019
112,Action.NO_OP,6,3,37,0.0,0,0,-0.1,0,False,False,110.3000000000002
113,Action.NO_OP,6,3,37,0.0,0,0,-0.1,0,False,False,110.2000000000002
114,Action.B,6,3,37,0.0,0,0,-0.1,0,False,False,110.10000000000021
115,Action.B,6,3,37,0.0,0,0,-0.1,0,False,False,110.00000000000021
116,Action.B,6,3,37,0.0,0,0,-0.1,0,False,False,109.90000000000022
117,Action.B,6,3,37,0.0,0,0,-0.1,0,False,False,109.80000000000022
118,Action.B,6,3,37,0.0,0,0,-0.1,0,False,False,109.70000000000023
119,Action.B,6,3,37,0.0,0,0,-0.1,0,False,False,109.60000000000024
120,Action.B,6,3,37,0.0,0,0,-0.1,0,False,False,109.50000000000024
121,Action.B,6,3,37,0.0,0,0,-0.1,0,False,False,109.40000000000025
122,Action.B,6,3,37,0.0,0,0,-0.1,0,False,False,109.30000000000025
123,Action.B,6,3,37,0.0,0,0,-2.1,0,False,False,107.20000000000026
124,Action.B,6,3,37,0.0,0,0,-2.1,0,False,False,105.10000000000026
125,Action.B,6,3,37,0.0,0,0,-2.1,0,False,False,103.00000000000027
126,Action.B,6,3,37,0.0,0,0,-2.1,0,False,False,100.90000000000028
127,Action.NO_OP,6,3,37,0.0,0,0,-0.1,0,False,False,100.80000000000028
128,Action.NO_OP,6,3,37,0.0,0,0,-0.1,0,False,False,100.70000000000029
129,Action.NO_OP,6,3,37,0.0,0,0,-0.1,0,False,False,100.60000000000029
130,Action.RIGHT,7,3,37,3.0,0,0,-0.05,0,False,False,100.5500000000003
131,Action.LEFT,6,3,37,2.0,0,0,-0.1,0,False,False,100.4500000000003
132,Action.NO_OP,6,3,37,2.0,0,0,-0.1,0,False,False,100.3500000000003
133,Action.NO_OP,6,3,37,2.0,0,0,-0.1,0,False,False,100.25000000000031
134,Action.NO_OP,6,3,37,2.0,0,0,-0.1,0,False,False,100.15000000000032
135,Action.B,6,3,37,2.0,0,0,-0.1,0,False,False,100.05000000000032
136,Action.B,6,3,37,2.0,0,0,-0.1,0,False,False,99.95000000000033
137,Action.B,6,3,37,2.0,0,0,-0.1,0,False,False,99.85000000000034
138,Action.B,6,3,37,2.0,0,0,-0.1,0,False,False,99.75000000000034
139,Action.B,6,3,37,2.0,0,0,-0.1,0,False,False,99.65000000000035
140,Action.B,6,3,37,2.0,0,0,-0.1,0,False,False,99.55000000000035
141,Action.B,6,3,37,2.0,0,0,-0.1,0,False,False,99.45000000000036
142,Action.B,6,3,37,2.0,0,0,-0.1,0,False,False,99.35000000000036
143,Action.B,6,3,37,2.0,0,0,-0.1,0,False,False,99.25000000000037
144,Action.NO_OP,6,3,37,2.0,0,0,-0.1,0,False,False,99.15000000000038
145,Action.NO_OP,6,3,37,2.0,0,0,-0.1,0,False,False,99.05000000000038
146,Action.NO_OP,6,3,37,2.0,0,0,-0.1,0,False,False,98.95000000000039
147,Action.NO_OP,6,3,37,2.0,0,0,-0.1,0,False,False,98.85000000000039
148,Action.NO_OP,6,3,37,2.0,0,0,-0.1,0,False,False,98.7500000000004
